date_dt,province,confirmed,deaths,recovered,Lat,Long,size
83,2020-01-23,Fujian,5,0,0,26.0789,117.9874,2.23606797749979
84,2020-01-23,Gansu,2,0,0,36.0611,103.8343,1.4142135623730951
85,2020-01-23,"Grafton County, NH",0,0,0,43.9088,-71.82600000000001,0.0
86,2020-01-23,Guangdong,32,0,2,23.3417,113.4244,5.656854249492381
87,2020-01-23,Guangxi,5,0,0,23.8298,108.7881,2.23606797749979
88,2020-01-23,Guizhou,3,0,0,26.8154,106.8748,1.7320508075688772
89,2020-01-23,Hainan,5,0,0,19.1959,109.7453,2.23606797749979
90,2020-01-23,Hebei,1,1,0,38.0428,114.5149,1.0
91,2020-01-23,Heilongjiang,2,0,0,47.861999999999995,127.7615,1.4142135623730951
92,2020-01-23,Henan,5,0,0,33.882020000000004,113.61399999999999,2.23606797749979
93,2020-01-23,"Hillsborough, FL",0,0,0,27.9904,-82.3018,0.0
94,2020-01-23,Hong Kong,2,0,0,22.3,114.2,1.4142135623730951
95,2020-01-23,Hubei,444,17,28,30.9756,112.2707,21.071307505705477
96,2020-01-23,"Humboldt County, CA",0,0,0,40.745,-123.8695,0.0
97,2020-01-23,Hunan,9,0,0,27.6104,111.7088,3.0
98,2020-01-23,Inner Mongolia,0,0,0,44.0935,113.9448,0.0
99,2020-01-23,Jiangsu,5,0,0,32.9711,119.455,2.23606797749979
100,2020-01-23,Jiangxi,7,0,0,27.614,115.7221,2.6457513110645907
101,2020-01-23,Jilin,1,0,0,43.6661,126.1923,1.0
102,2020-01-23,"King County, WA",1,0,0,47.6062,-122.3321,1.0
103,2020-01-23,"Lackland, TX (From Diamond Princess)",0,0,0,29.3829,-98.6134,0.0
104,2020-01-23,Liaoning,3,0,0,41.2956,122.6085,1.7320508075688772
105,2020-01-23,"London, ON",0,0,0,42.9849,-81.2453,0.0
106,2020-01-23,"Los Angeles, CA",0,0,0,34.0522,-118.2437,0.0
107,2020-01-23,Macau,2,0,0,22.1667,113.55,1.4142135623730951
108,2020-01-23,"Madison, WI",0,0,0,43.0731,-89.4012,0.0
109,2020-01-23,New South Wales,0,0,0,-33.8688,151.2093,0.0
110,2020-01-23,"New York City, NY",0,0,0,40.7128,-74.006,0.0
111,2020-01-23,Ningxia,1,0,0,37.2692,106.1655,1.0
112,2020-01-23,"Omaha, NE (From Diamond Princess)",0,0,0,41.2545,-95.9758,0.0
113,2020-01-23,"Orange, CA",0,0,0,33.7879,-117.8531,0.0
114,2020-01-23,"Placer County, CA",0,0,0,39.0916,-120.8039,0.0
115,2020-01-23,"Portland, OR",0,0,0,45.5051,-122.675,0.0
116,2020-01-23,"Providence, RI",0,0,0,41.824,-71.4128,0.0
117,2020-01-23,Qinghai,0,0,0,35.7452,95.9956,0.0
118,2020-01-23,Queensland,0,0,0,-28.0167,153.4,0.0
119,2020-01-23,"Sacramento County, CA",0,0,0,38.4747,-121.3542,0.0
120,2020-01-23,"San Antonio, TX",0,0,0,29.4241,-98.4936,0.0
121,2020-01-23,"San Benito, CA",0,0,0,36.5761,-120.9876,0.0
122,2020-01-23,"San Diego County, CA",0,0,0,32.7157,-117.1611,0.0
123,2020-01-23,"San Mateo, CA",0,0,0,37.563,-122.3255,0.0
124,2020-01-23,"Santa Clara, CA",0,0,0,37.3541,-121.9552,0.0
125,2020-01-23,"Sarasota, FL",0,0,0,27.3364,-82.5307,0.0
126,2020-01-23,Shaanxi,3,0,0,35.1917,108.8701,1.7320508075688772
127,2020-01-23,Shandong,6,0,0,36.3427,118.1498,2.449489742783178
128,2020-01-23,Shanghai,16,0,0,31.201999999999998,121.4491,4.0
129,2020-01-23,Shanxi,1,0,0,37.5777,112.2922,1.0
130,2020-01-23,Sichuan,8,0,0,30.6171,102.7103,2.8284271247461903
131,2020-01-23,"Snohomish County, WA",0,0,0,48.033,-121.8339,0.0
132,2020-01-23,"Sonoma County, CA",0,0,0,38.578,-122.9888,0.0
133,2020-01-23,South Australia,0,0,0,-34.9285,138.6007,0.0
134,2020-01-23,Taiwan,1,0,0,23.7,121.0,1.0
135,2020-01-23,Tasmania,0,0,0,-41.4545,145.9707,0.0
136,2020-01-23,"Tempe, AZ",0,0,0,33.4255,-111.94,0.0
137,2020-01-23,Tianjin,4,0,0,39.3054,117.323,2.0
138,2020-01-23,Tibet,0,0,0,31.6927,88.0924,0.0
139,2020-01-23,"Toronto, ON",0,0,0,43.6532,-79.3832,0.0
140,2020-01-23,"Travis, CA (From Diamond Princess)",0,0,0,38.2721,-121.9399,0.0
141,2020-01-23,"Umatilla, OR",0,0,0,45.775,-118.7606,0.0
142,2020-01-23,Unassigned Location (From Diamond Princess),0,0,0,35.4437,139.638,0.0
143,2020-01-23,Victoria,0,0,0,-37.8136,144.9631,0.0
144,2020-01-23,Western Australia,0,0,0,-31.9505,115.8605,0.0
145,2020-01-23,Xinjiang,2,0,0,41.1129,85.2401,1.4142135623730951
146,2020-01-23,Yunnan,2,0,0,24.974,101.48700000000001,1.4142135623730951
147,2020-01-23,Zhejiang,27,0,0,29.1832,120.0934,5.196152422706632
148,2020-01-24," Montreal, QC",0,0,0,45.5017,-73.5673,0.0
149,2020-01-24,Anhui,15,0,0,31.8257,117.2264,3.872983346207417
150,2020-01-24,Beijing,36,0,1,40.1824,116.4142,6.0
151,2020-01-24,"Boston, MA",0,0,0,42.3601,-71.0589,0.0
152,2020-01-24,British Columbia,0,0,0,49.2827,-123.1207,0.0
153,2020-01-24,Chongqing,27,0,0,30.0572,107.874,5.196152422706632
154,2020-01-24,"Cook County, IL",1,0,0,41.8781,-87.6298,1.0
155,2020-01-24,Diamond Princess cruise ship,0,0,0,35.4437,139.638,0.0
156,2020-01-24,From Diamond Princess,0,0,0,35.4437,139.638,0.0
157,2020-01-24,Fujian,10,0,0,26.0789,117.9874,3.1622776601683795
158,2020-01-24,Gansu,2,0,0,36.0611,103.8343,1.4142135623730951
159,2020-01-24,"Grafton County, NH",0,0,0,43.9088,-71.82600000000001,0.0
160,2020-01-24,Guangdong,53,0,2,23.3417,113.4244,7.280109889280518
161,2020-01-24,Guangxi,23,0,0,23.8298,108.7881,4.795831523312719
162,2020-01-24,Guizhou,3,0,0,26.8154,106.8748,1.7320508075688772
163,2020-01-24,Hainan,8,0,0,19.1959,109.7453,2.8284271247461903
164,2020-01-24,Hebei,2,1,0,38.0428,114.5149,1.4142135623730951
165,2020-01-24,Heilongjiang,4,1,0,47.861999999999995,127.7615,2.0
166,2020-01-24,Henan,9,0,0,33.882020000000004,113.61399999999999,3.0
167,2020-01-24,"Hillsborough, FL",0,0,0,27.9904,-82.3018,0.0
168,2020-01-24,Hong Kong,2,0,0,22.3,114.2,1.4142135623730951
169,2020-01-24,Hubei,549,24,31,30.9756,112.2707,23.430749027719962
170,2020-01-24,"Humboldt County, CA",0,0,0,40.745,-123.8695,0.0
171,2020-01-24,Hunan,24,0,0,27.6104,111.7088,4.898979485566356
172,2020-01-24,Inner Mongolia,1,0,0,44.0935,113.9448,1.0
173,2020-01-24,Jiangsu,9,0,0,32.9711,119.455,3.0
174,2020-01-24,Jiangxi,18,0,0,27.614,115.7221,4.242640687119285
175,2020-01-24,Jilin,3,0,0,43.6661,126.1923,1.7320508075688772
176,2020-01-24,"King County, WA",1,0,0,47.6062,-122.3321,1.0
177,2020-01-24,"Lackland, TX (From Diamond Princess)",0,0,0,29.3829,-98.6134,0.0
178,2020-01-24,Liaoning,4,0,0,41.2956,122.6085,2.0
179,2020-01-24,"London, ON",0,0,0,42.9849,-81.2453,0.0
180,2020-01-24,"Los Angeles, CA",0,0,0,34.0522,-118.2437,0.0
181,2020-01-24,Macau,2,0,0,22.1667,113.55,1.4142135623730951
182,2020-01-24,"Madison, WI",0,0,0,43.0731,-89.4012,0.0
183,2020-01-24,New South Wales,0,0,0,-33.8688,151.2093,0.0
184,2020-01-24,"New York City, NY",0,0,0,40.7128,-74.006,0.0
185,2020-01-24,Ningxia,2,0,0,37.2692,106.1655,1.4142135623730951
186,2020-01-24,"Omaha, NE (From Diamond Princess)",0,0,0,41.2545,-95.9758,0.0
187,2020-01-24,"Orange, CA",0,0,0,33.7879,-117.8531,0.0
188,2020-01-24,"Placer County, CA",0,0,0,39.0916,-120.8039,0.0
189,2020-01-24,"Portland, OR",0,0,0,45.5051,-122.675,0.0
190,2020-01-24,"Providence, RI",0,0,0,41.824,-71.4128,0.0
191,2020-01-24,Qinghai,0,0,0,35.7452,95.9956,0.0
192,2020-01-24,Queensland,0,0,0,-28.0167,153.4,0.0
193,2020-01-24,"Sacramento County, CA",0,0,0,38.4747,-121.3542,0.0
194,2020-01-24,"San Antonio, TX",0,0,0,29.4241,-98.4936,0.0
195,2020-01-24,"San Benito, CA",0,0,0,36.5761,-120.9876,0.0
196,2020-01-24,"San Diego County, CA",0,0,0,32.7157,-117.1611,0.0
197,2020-01-24,"San Mateo, CA",0,0,0,37.563,-122.3255,0.0
198,2020-01-24,"Santa Clara, CA",0,0,0,37.3541,-121.9552,0.0
199,2020-01-24,"Sarasota, FL",0,0,0,27.3364,-82.5307,0.0
200,2020-01-24,Shaanxi,5,0,0,35.1917,108.8701,2.23606797749979
201,2020-01-24,Shandong,15,0,0,36.3427,118.1498,3.872983346207417
202,2020-01-24,Shanghai,20,0,1,31.201999999999998,121.4491,4.47213595499958
